sim,ct,immigration.rate,res.inflow,N.types,max.res.val,max.growth.rate,max.met.maint,max.active.dispersal,starting.seed,flow.rate,height,length,total.abundance,ind.production,biomass.prod.N,resource.particles,resource.concentration,species.richness,simpson.e,e.var,shannon.h,e.shan,avg.pop.size,pop.var,N.max,logmod.skew,Whittakers.turnover,amplitude,frequency,phase,all.biomass,active.biomass,dormant.biomass,all.avg.per.capita.growth,active.avg.per.capita.growth,dormant.avg.per.capita.growth,all.avg.per.capita.maint,active.avg.per.capita.maint,dormant.avg.per.capita.maint,all.avg.per.capita.efficiency,active.avg.per.capita.efficiency,dormant.avg.per.capita.efficiency,all.avg.per.capita.active.dispersal,active.avg.per.capita.active.dispersal,dormant.avg.per.capita.active.dispersal,all.avg.per.capita.rpf,active.avg.per.capita.rpf,dormant.avg.per.capita.rpf,all.avg.per.capita.mf,active.avg.per.capita.mf,dormant.avg.per.capita.mf,all.size,active.size,dormant.size,N.active,S.active,N.dormant,S.Dormant,Percent.Dormant,dorm.limit
0,110,1,666,3,1,1,1,1,500,0.08444919382986976,16,16,199,1,1,0,0.0,68,0.2345,0.6312156952148615,3.490103,0.827135,2.926470588235294,27.950475778546704,36,0.7410138190047864,nan,0,0,0,5.378853993508318,7.3974483400188005,2.9341119516233984,0.02672206816929309,0.02410860967856636,0.02988725678583992,0.014403972885957723,0.01412998261627153,0.014735805545911005,0.03388533257126164,0.029553767358846274,0.03913133932852025,0.042257550659190214,0.0341355928571561,0.052094143997209325,0.05934851678691928,0.052228190091973374,0.0679720235619093,0.009977027227719534,0.010982984727973258,0.008758700921856693,71.17497989958868,70.24464740249104,72.30171592385136,109,39,90,43,45.22613065326633,1
0,120,1,666,3,1,1,1,1,500,0.08444919382986976,16,16,200,6,6,0,0.0,54,0.2271,0.5595068555530153,3.181298,0.797521,3.7037037037037037,46.689986282578865,42,0.7014705495960196,0.22950819672131148,0,0,0,5.684442405676832,5.872858680011983,5.434681297837215,0.02807291985322335,0.027407267547606636,0.028955296165319923,0.013724741343452767,0.012972314484352097,0.014722144389237378,0.03272229844930524,0.03133349123000076,0.03456327546094142,0.03626699857659453,0.030869451050935717,0.043421887157119005,0.0563960057708647,0.055986785411460904,0.05693846066588834,0.008111978004397127,0.008687449060815523,0.00734914427844716,73.7375335495203,80.06239010149514,65.35342137597227,114,35,86,35,43.0,1
0,130,1,666,3,1,1,1,1,500,0.08444919382986976,16,16,190,7,7,0,0.0,46,0.1797,0.5370191936874307,2.895206,0.756197,4.130434782608695,77.89603024574669,56,0.7601378918898818,0.16,0,0,0,5.97623162129105,6.446325934368425,5.30122440251328,0.02928218365116651,0.03155712365122482,0.026015603138262282,0.01358642079834732,0.013625494949166693,0.013530314325375907,0.02722354327191242,0.0293214201966226,0.024211207174892675,0.034110924080780716,0.030970422952582007,0.03862036159819425,0.051676044535739,0.04381646638024217,0.06296159265645242,0.008259374746633177,0.007124216264444219,0.009889345900545524,80.32498630406714,97.0685416224507,56.28295815459331,112,31,78,32,41.05263157894737,1
0,140,1,666,3,1,1,1,1,500,0.08444919382986976,16,16,186,4,4,13,0.05078125,36,0.1462,0.4823275537166204,2.446958,0.682837,5.166666666666667,155.86111111111111,74,0.7575732734405134,0.24390243902439024,0,0,0,5.6588264859604775,5.308821164208774,6.154288564803798,0.031214929616321666,0.03163661670755344,0.03061799594172084,0.014321785085259369,0.014007293602676687,0.014766974326837452,0.027721498143164484,0.027058057831090578,0.02866065390960677,0.02849402546845778,0.022773052467664374,0.036592545690360134,0.05021174080766839,0.047906717701395415,0.053474695594470385,0.006644106116314691,0.006030694893282327,0.007512441483983883,79.04271475943541,78.96235930966985,79.15646468183084,109,19,77,29,41.39784946236559,1
0,150,1,666,3,1,1,1,1,500,0.08444919382986976,16,16,157,4,4,0,0.0,28,0.2356,0.43682263108223984,2.387041,0.716355,5.607142857142857,102.02423469387755,43,0.5585288961682171,0.25,0,0,0,6.67602024141329,6.946231111033396,6.313050416550461,0.03320151244503032,0.03286972826566362,0.03364719268597068,0.014143450447270644,0.014855450206311403,0.013187032860499477,0.036338819955189804,0.03582179108085541,0.03703333635354944,0.029315597726613365,0.028239571041673375,0.0307610067063835,0.04386784199015515,0.04324477102150876,0.04470480299281447,0.007270640860578965,0.0078041046455048,0.00655404771664874,87.5761881888975,75.40387634072997,103.92705485061515,90,19,67,20,42.675159235668794,1
0,160,1,666,3,1,1,1,1,500,0.08444919382986976,16,16,77,1,1,0,0.0,19,0.3403,0.5719315539329068,2.330795,0.791592,4.052631578947368,31.8393351800554,21,0.524427599885191,0.3829787234042553,0,0,0,13.556943642189891,15.422926941577705,11.738806068427403,0.026501589979543872,0.02528755814501456,0.027684492792675,0.009592437659124781,0.009870505306494555,0.009321499951431157,0.047307106862929896,0.0463005402060504,0.048287864118350975,0.030637186182022123,0.027095857148000634,0.03408771190747897,0.05966202029050654,0.06313546536254759,0.0562776379126204,0.009031228306529806,0.007653835905908673,0.010373302953288857,110.36401215018358,114.8946378838165,105.94955630715663,38,14,39,15,50.649350649350644,1
0,170,1,666,3,1,1,1,1,500,0.08444919382986976,16,16,28,0,0,5,0.01953125,10,0.6759,0.7736205269555487,2.096517,0.910506,2.8,3.7600000000000007,7,0.35614506994370854,0.6206896551724138,0,0,0,22.506597289380036,25.6513938045833,20.47172895601321,0.028132192302119847,0.03438698090301114,0.024084976148601934,0.00871065183747466,0.009358682323418575,0.008291337993628597,0.04732272134667178,0.05300484152211173,0.04364605535079887,0.02886049218510358,0.023790099781553588,0.032141334328577104,0.06345723389603805,0.05859938358773576,0.06660054880141014,0.016258040752104085,0.01135875553312855,0.019428166482029434,153.50872237701896,193.35977255589935,127.72274873186106,11,6,17,10,60.71428571428571,1
0,180,1,666,3,1,1,1,1,500,0.08444919382986976,16,16,3,0,0,51,0.19921875,2,0.9,0.9238981093453731,0.636514,0.918296,1.5,0.25,2,0.0,1.6666666666666667,0,0,0,6.89524793595708,2.234100090216193,9.225821858827524,0.011898931136691729,0.010646693030873813,0.012525050189600687,0.0025930779230995717,0.0016242911658529617,0.0030774713017228767,0.08419704331190132,0.11384656954021562,0.06937228019774419,0.1148111757582184,0.060481110561593006,0.1419762083565311,0.17525149469674808,0.06387205128301202,0.23094121640361615,0.07510229232256722,0.06365351630359134,0.08082668033205516,71.90799150927636,79.34585071631403,68.18906190575753,1,1,2,2,66.66666666666666,1
0,190,1,666,3,1,1,1,1,500,0.08444919382986976,16,16,2,0,0,116,0.453125,2,1.0,1.0,0.693147,1.0,1.0,0.0,1,0.0,0.0,0,0,0,5.887297411329756,5.7650199071547235,6.009574915504789,0.012525050189600687,0.010646693030873813,0.014403407348327561,0.0030774713017228767,0.0016242911658529617,0.004530651437592792,0.06937228019774419,0.11384656954021562,0.024897990855272778,0.1419762083565311,0.060481110561593006,0.2234713061514692,0.23094121640361615,0.06387205128301202,0.39801038152422025,0.08082668033205516,0.06365351630359134,0.09799984436051898,95.92375586912013,87.28074693941235,104.56676479882792,1,1,1,1,50.0,1
1,110,1,578,3,1,1,1,1,500,0.017215826276046408,14,14,539,7,7,3,0.015306122448979591,134,0.2573,0.5728392286071667,4.267669,0.871337,4.022388059701493,46.693528625529076,66,0.8642603053525058,nan,0,0,0,2.0173206810998954,1.2328080556722185,2.737620529357335,0.026786970461135057,0.025759919248671218,0.027729956983610755,0.009893495679871668,0.008836001239357379,0.010864433635931049,0.03385754250240155,0.03525866814092361,0.03257109974532434,0.041496327303645435,0.03734261237120884,0.04531005845157655,0.08561870146736056,0.0925391707455938,0.07926467629375139,0.015932051314419982,0.016491885417684895,0.015418039931351131,65.56182733431056,54.10094367565711,76.0846315475938,258,82,281,111,52.13358070500927,1
